id,player_name,club,position,minutes_played,match_played,goals,assists,distance_covered
409,Hudson-Odoi,Chelsea,Midfielder,289,5,1,2,32.3
410,Uribe,Porto,Midfielder,289,4,0,0,36.8
411,De Sciglio,Juventus,Defender,286,4,0,1,33.3
412,M. Olsson,Malmö,Defender,284,6,0,0,34.5
413,Dimarco,Inter,Defender,283,7,0,0,36.3
414,Capaldo,Salzburg,Midfielder,281,7,0,0,36.9
415,Peña,Malmö,Midfielder,281,5,0,0,32.5
416,Dzyuba,Zenit,Forward,277,6,0,1,31.2
417,Rakitić,Sevilla,Midfielder,276,5,2,1,36.4
418,Larsson,Malmö,Defender,275,4,0,0,32
419,Chukwueze,Villarreal,Midfielder,273,9,2,0,37
420,Rakip,Malmö,Midfielder,273,6,0,0,35.9
421,Rieder,Young Boys,Midfielder,272,6,1,1,38.7
422,Rafa Mir,Sevilla,Forward,271,6,1,1,36.4
423,Kampl,Leipzig,Midfielder,270,3,0,0,35.8
424,Verissimo,Benfica,Defender,270,3,0,0,30.2
425,N'Sakala,Beşiktaş,Defender,270,3,0,0,30.1
426,Kjær,Milan,Defender,270,3,0,0,28.6
427,Faivre,Young Boys,Goalkeeper,270,3,0,0,20.5
428,Tătăruşanu,Milan,Goalkeeper,270,3,0,0,18.6
429,Maignan,Milan,Goalkeeper,270,3,0,0,18.3
430,Trubin,Shakhtar Donetsk,Goalkeeper,270,3,0,0,15.5
431,Navas,Paris,Goalkeeper,270,3,0,0,13.7
432,Von Ballmoos,Young Boys,Goalkeeper,270,3,0,0,12.2
433,Fassnacht,Young Boys,Midfielder,269,3,0,0,23.3
434,Alan Patrick,Shakhtar Donetsk,Midfielder,268,4,0,1,37.1
435,Pyatov,Shakhtar Donetsk,Goalkeeper,266,3,0,0,14.2
436,Arthur,Juventus,Midfielder,264,6,0,0,35.2
437,Kenan Karaman,Beşiktaş,Forward,264,5,0,0,33.7
438,Wijnaldum,Paris,Midfielder,261,5,2,0,31.6
439,Giroud,Milan,Forward,261,5,0,0,29
440,Pjanic,Beşiktaş,Midfielder,261,3,0,2,32.7
441,Mehmet Topal,Beşiktaş,Midfielder,261,3,0,0,29.6
442,Di María,Paris,Forward,260,5,0,1,32.1
443,Djimsiti,Atalanta,Defender,260,5,0,0,31.5
444,Dia,Villarreal,Forward,258,8,1,0,33.3
445,Steffen,Wolfsburg,Midfielder,258,5,2,0,31.1
446,Onana,LOSC,Midfielder,257,8,0,0,34.9
447,Rashford,Man. United,Forward,257,5,1,0,29.5
448,Kuzyaev,Zenit,Midfielder,257,4,1,0,31.7
449,Marcos Antônio,Shakhtar Donetsk,Midfielder,256,5,0,0,36.1
450,Dybala,Juventus,Forward,255,5,3,1,30.6
451,Weah,LOSC,Forward,255,5,0,0,29.4
452,Meraş,Beşiktaş,Defender,253,3,0,0,29.9
453,Krunić,Milan,Midfielder,252,4,0,0,30.6
454,Iličić,Atalanta,Midfielder,249,4,1,1,29.3
455,Nico González,Barcelona,Midfielder,247,4,0,0,33.6
456,Eric García,Barcelona,Defender,247,4,0,0,29.7
457,Werner,Chelsea,Forward,246,5,4,2,29.8
